word,The Craft,The Witches,total
assholes,1,0,1
asshole,1,0,1
assembly,1,0,1
arrival,1,0,1
armature,1,0,1
arm,1,0,1
area,1,0,1
anyways,1,0,1
anymore,1,0,1
anybody,1,0,1
animals,1,0,1
angeles,1,0,1
anderson,1,0,1
ancient,1,0,1
almanac,1,0,1
allow,1,0,1
allover,1,0,1
alert,1,0,1
aid,1,0,1
ahead,1,0,1
ages,1,0,1
accidents,1,0,1
abused,1,0,1
ability,1,0,1
sarah,0,29,29
nancy,0,21,21
guys,0,18,18
chris,0,17,17
shit,0,13,13
power,0,12,12
head,0,12,12
powers,0,10,10
manon,0,10,10
invoke,0,10,10
harm,0,10,10
thee,0,9,9
light,0,9,9
girls,0,9,9
watchtowers,0,8,8
saying,0,8,8
laura,0,8,8
honey,0,8,8
hail,0,8,8
guardians,0,8,8
feel,0,8,8
talking,0,7,7
bonnie,0,7,7
pathetic,0,6,6
north,0,6,6
killed,0,6,6
hold,0,6,6
hit,0,6,6
fourth,0,6,6
earth,0,6,6
circle,0,6,6
beautiful,0,6,6
spell,0,5,5
rochelle,0,5,5
read,0,5,5
paranoid,0,5,5
happen,0,5,5
hair,0,5,5
francis,0,5,5
finger,0,5,5
dead,0,5,5
connie,0,5,5
bitch,0,5,5
weak,0,4,4
tricky,0,4,4
thinking,0,4,4
supposed,0,4,4
sisters,0,4,4
scars,0,4,4
scared,0,4,4
san,0,4,4
practice,0,4,4
perfect,0,4,4
move,0,4,4
lights,0,4,4
friends,0,4,4
francisco,0,4,4
football,0,4,4
fire,0,4,4
feather,0,4,4
enter,0,4,4
drink,0,4,4
couch,0,4,4
book,0,4,4
board,0,4,4
bind,0,4,4
ass,0,4,4
arent,0,4,4
actually,0,4,4
west,0,3,3
surprised,0,3,3
stiff,0,3,3
spirit,0,3,3
spells,0,3,3
south,0,3,3
serpent,0,3,3
reason,0,3,3
ray,0,3,3
nature,0,3,3
natural,0,3,3
looks,0,3,3
jesus,0,3,3
jealous,0,3,3
hows,0,3,3
heavy,0,3,3
heart,0,3,3
heads,0,3,3
guy,0,3,3
glamour,0,3,3
flying,0,3,3
exist,0,3,3
east,0,3,3
downs,0,3,3
deep,0,3,3
corners,0,3,3
butt,0,3,3
body,0,3,3
blonde,0,3,3
bigger,0,3,3
balance,0,3,3
apartment,0,3,3
worked,0,2,2
win,0,2,2
whyd,0,2,2
weirdos,0,2,2
warm,0,2,2
wanna,0,2,2
waiting,0,2,2
usually,0,2,2
unto,0,2,2
uniform,0,2,2
undo,0,2,2
underneath,0,2,2
twenty,0,2,2
truth,0,2,2
throwing,0,2,2
takes,0,2,2
sucks,0,2,2
storm,0,2,2
steal,0,2,2
slut,0,2,2
slit,0,2,2
size,0,2,2
scary,0,2,2
salon,0,2,2
rush,0,2,2
rub,0,2,2
roof,0,2,2
rochelles,0,2,2
relaxed,0,2,2
reach,0,2,2
ran,0,2,2
procedure,0,2,2
powerful,0,2,2
policy,0,2,2
plane,0,2,2
peace,0,2,2
outside,0,2,2
noninvasive,0,2,2
needle,0,2,2
nah,0,2,2
mine,0,2,2
middle,0,2,2
loved,0,2,2
