word,Snow White and the Seven Dwarves,Eve s Bayou,total
harmless,0,2,2
groaning,0,2,2
goodness,0,2,2
git,0,2,2
frighten,0,2,2
fireplace,0,2,2
far,0,2,2
fan,0,2,2
fair,0,2,2
fail,0,2,2
echo,0,2,2
dumplings,0,2,2
dumb,0,2,2
dragon,0,2,2
disguise,0,2,2
dirty,0,2,2
diamonds,0,2,2
dearie,0,2,2
croaking,0,2,2
courage,0,2,2
cottage,0,2,2
constant,0,2,2
congeal,0,2,2
comin,0,2,2
cobwebs,0,2,2
chairs,0,2,2
call,0,2,2
bunch,0,2,2
bugle,0,2,2
brew,0,2,2
breath,0,2,2
beating,0,2,2
beards,0,2,2
aw,0,2,2
astonished,0,2,2
angel,0,2,2
alas,0,2,2
ahhh,0,2,2
ahem,0,2,2
adorable,0,2,2
yodel,0,1,1
wreak,0,1,1
wouldst,0,1,1
wonder,0,1,1
witchs,0,1,1
witchcraft,0,1,1
windows,0,1,1
wildflowers,0,1,1
whites,0,1,1
whiten,0,1,1
whimpering,0,1,1
wha,0,1,1
warthog,0,1,1
wanna,0,1,1
walk,0,1,1
wakin,0,1,1
wakes,0,1,1
waken,0,1,1
victims,0,1,1
victim,0,1,1
vengeance,0,1,1
untidy,0,1,1
ugliness,0,1,1
tyin,0,1,1
tumbling,0,1,1
tried,0,1,1
tricked,0,1,1
trapped,0,1,1
transform,0,1,1
tight,0,1,1
ticking,0,1,1
thunderbolt,0,1,1
thunder,0,1,1
throat,0,1,1
thousand,0,1,1
thirsty,0,1,1
theressomeone,0,1,1
thatll,0,1,1
tender,0,1,1
tempt,0,1,1
tapping,0,1,1
tap,0,1,1
tall,0,1,1
symbol,0,1,1
swoop,0,1,1
suspect,0,1,1
surprise,0,1,1
suppers,0,1,1
sunshine,0,1,1
sunny,0,1,1
summon,0,1,1
sugars,0,1,1
sty,0,1,1
strong,0,1,1
strange,0,1,1
stocking,0,1,1
sticks,0,1,1
stepmother,0,1,1
step,0,1,1
steam,0,1,1
steal,0,1,1
steady,0,1,1
stays,0,1,1
standin,0,1,1
stairs,0,1,1
stable,0,1,1
squeak,0,1,1
sputterin,0,1,1
sputter,0,1,1
spoodledug,0,1,1
spell,0,1,1
space,0,1,1
souse,0,1,1
soup,0,1,1
sounding,0,1,1
sounded,0,1,1
sound,0,1,1
soul,0,1,1
sort,0,1,1
somethin,0,1,1
snuff,0,1,1
snort,0,1,1
snickering,0,1,1
sneeze,0,1,1
smokin,0,1,1
smellin,0,1,1
sly,0,1,1
slick,0,1,1
sleeves,0,1,1
sinks,0,1,1
silence,0,1,1
sign,0,1,1
shroud,0,1,1
shrieking,0,1,1
shovel,0,1,1
